DateTime,year,month,day,hour,minute,Temperature,Precipitation - Tipping Bucket,Solar - Incoming,Wind Speed - Average 4.4,RH,Pressure,Dew Point                                                                    
2023-04-11 12:00:00,2023.0,4.0,11.0,14.5,22.5,20.759583333333335,0.0,501.34444333333334,11.311111666666667,41.30389041666667,101.8098025,7.150499583333333
2023-04-11 18:00:00,2023.0,4.0,11.0,20.5,22.5,17.935029166666666,0.0,37.45555541666666,6.963887916666667,44.93055583333333,101.68914416666667,5.820250416666667
2023-04-12 00:00:00,2023.0,4.0,12.0,2.5,22.5,14.0145,0.0,1.0,2.15,54.64444541666666,101.60256291666667,4.9881675
2023-04-12 06:00:00,2023.0,4.0,12.0,8.5,22.5,16.979361666666666,0.0,323.17777625,4.697221666666667,53.270278749999996,101.39705541666666,7.349472083333333
2023-04-12 12:00:00,2023.0,4.0,12.0,14.5,22.5,24.7586675,0.0,712.8916683333333,10.391666666666667,39.97638833333333,101.22469208333332,10.18572125
2023-04-12 18:00:00,2023.0,4.0,12.0,20.5,22.5,20.799610416666667,0.0,58.41666708333333,4.019445,46.30916833333333,101.11752666666666,8.708332916666667
2023-04-13 00:00:00,2023.0,4.0,13.0,2.5,22.5,15.753805416666667,0.0,1.0,1.6638891666666666,55.59055625,101.1838925,6.886888333333334
2023-04-13 06:00:00,2023.0,4.0,13.0,8.5,22.5,18.8299725,0.0,331.70833124999996,5.327778333333334,49.47638666666666,101.22368999999999,7.947722083333333
2023-04-13 12:00:00,2023.0,4.0,13.0,14.5,22.5,26.631249166666667,0.0,724.2722266666666,9.736110416666667,36.26527791666667,101.19938958333334,10.355139166666666
2023-04-13 18:00:00,2023.0,4.0,13.0,20.5,22.5,20.88663791666667,0.0,62.966665416666665,4.011110833333333,44.4297225,101.22349750000001,7.949972083333333
2023-04-14 00:00:00,2023.0,4.0,14.0,2.5,22.5,13.471389166666667,0.0,1.0,0.0,57.8316675,101.32952,5.194500416666666
2023-04-14 06:00:00,2023.0,4.0,14.0,8.5,22.5,17.48214,0.0,354.6777745833333,1.0194445833333334,55.24416791666667,101.31780291666666,7.436805
2023-04-14 12:00:00,2023.0,4.0,14.0,14.5,22.5,27.745027500000003,0.0,721.0638887499999,3.9555554166666664,29.756945416666667,101.22638833333333,8.471055833333333
2023-04-14 18:00:00,2023.0,4.0,14.0,20.5,22.5,20.00764,0.0,61.70000041666666,1.1055554166666666,45.21611166666667,101.17577625,6.932473333333333
2023-04-15 00:00:00,2023.0,4.0,15.0,2.5,22.5,9.771195416666666,0.0,1.0,0.0,78.16305583333333,101.20013541666667,6.134888749999999
2023-04-15 06:00:00,2023.0,4.0,15.0,8.5,22.5,16.070555000000002,0.0,302.78888916666665,0.9499995833333333,62.68527791666667,101.16736208333333,8.032555
2023-04-15 12:00:00,2023.0,4.0,15.0,14.5,22.5,26.04855458333333,0.0,487.04167125000004,3.3249999999999997,34.37277708333333,101.07910791666667,9.127805416666666
2023-04-15 18:00:00,2023.0,4.0,15.0,20.5,22.5,18.948583333333335,0.0,42.87222166666667,0.9777775000000001,49.33333291666667,101.09002375,7.526195416666667
2023-04-16 00:00:00,2023.0,4.0,16.0,2.5,22.5,10.978528333333335,0.0,1.0,0.0,76.46111125,101.05313833333334,6.979082083333334
2023-04-16 06:00:00,2023.0,4.0,16.0,8.5,22.5,17.52,0.0,340.87500166666666,1.7805554166666668,62.13944333333333,100.79939,9.752417083333333
2023-04-16 12:00:00,2023.0,4.0,16.0,14.5,22.5,25.03530625,0.0,545.2750029166667,9.777777916666667,46.46694541666667,100.42730833333333,12.760195000000001
2023-04-16 18:00:00,2023.0,4.0,16.0,20.5,22.5,13.349360833333334,0.3666666666666667,10.336111666666667,7.1527770833333335,78.63249875000001,100.34497625,9.623637916666667
2023-04-17 00:00:00,2023.0,4.0,17.0,2.5,22.5,6.483500416666666,0.008333333333333333,1.0,9.250000416666667,73.03889041666666,100.40480708333332,2.0054166666666666
2023-04-17 06:00:00,2023.0,4.0,17.0,8.5,22.5,5.0915566666666665,0.03333333333333333,76.99999874999999,6.191666666666666,73.26694333333334,100.20160541666667,0.6901383333333334
2023-04-17 12:00:00,2023.0,4.0,17.0,14.5,22.5,3.488027916666667,0.10000000000000002,221.10833291666665,15.486112083333333,78.16444416666667,100.05999750000001,0.037555000000000005
2023-04-17 18:00:00,2023.0,4.0,17.0,20.5,22.5,1.4045558333333332,0.05833333333333334,15.986110416666667,7.87499875,83.80028083333333,100.22650333333333,-1.0389166666666667
2023-04-18 00:00:00,2023.0,4.0,18.0,2.5,22.5,0.7546395833333334,0.008333333333333333,1.0,6.616666666666667,82.09805625,100.28195083333333,-1.95188875
2023-04-18 06:00:00,2023.0,4.0,18.0,8.5,22.5,0.7252495833333333,0.016666666666666666,168.61666833333334,5.638889166666666,79.04166708333334,100.51086416666668,-2.522165833333333
2023-04-18 12:00:00,2023.0,4.0,18.0,14.5,22.5,1.0164170833333335,0.075,239.0138883333333,7.55,78.33500166666667,100.87839083333334,-2.360832916666667
2023-04-18 18:00:00,2023.0,4.0,18.0,20.5,22.5,0.459,0.03333333333333333,14.050000416666668,3.41388875,80.93249875,101.29358333333333,-2.4396666666666667
2023-04-19 00:00:00,2023.0,4.0,19.0,2.5,22.5,0.06169374999999999,0.0,1.0,5.438889166666667,77.56611041666666,101.58408000000001,-3.3918045833333337
2023-04-19 06:00:00,2023.0,4.0,19.0,8.5,22.5,-0.3170558333333333,0.0,133.89444375000002,7.8472229166666665,71.32833416666666,101.97499416666666,-4.879194583333333
2023-04-19 12:00:00,2023.0,4.0,19.0,14.5,22.5,5.552666250000001,0.0,477.18611333333337,4.961111666666667,63.73805791666666,102.11057749999999,-0.8055275000000001
2023-04-19 18:00:00,2023.0,4.0,19.0,20.5,22.5,6.33663875,0.0,42.722222916666674,0.7444449999999999,66.86805708333334,102.16093916666667,0.6103891666666666
2023-04-20 00:00:00,2023.0,4.0,20.0,2.5,22.5,4.567055416666666,0.008333333333333333,1.0,4.630555416666667,74.59694499999999,102.28222166666666,0.438305
2023-04-20 06:00:00,2023.0,4.0,20.0,8.5,22.5,4.448721666666667,0.025000000000000005,260.2194454166667,10.552778333333334,77.18833291666667,102.27827666666667,0.7509991666666666
2023-04-20 12:00:00,2023.0,4.0,20.0,14.5,22.5,10.664583333333333,0.0,579.2638870833333,14.21388875,55.84472208333333,102.00755416666668,2.1583883333333334
2023-04-20 18:00:00,2023.0,4.0,20.0,20.5,22.5,7.979139166666666,0.0,46.26388958333333,11.377777083333333,58.24861125,101.76383291666667,0.27475125
2023-04-21 00:00:00,2023.0,4.0,21.0,2.5,22.5,7.232277916666667,0.016666666666666666,1.0,7.324999583333334,63.87750083333333,101.59455458333333,0.8549166666666667
2023-04-21 06:00:00,2023.0,4.0,21.0,8.5,22.5,10.375139583333334,0.0,285.09999750000003,3.4722225000000004,62.84972291666667,101.36877500000001,3.5290274999999998
2023-04-21 12:00:00,2023.0,4.0,21.0,14.5,22.5,15.78561125,0.025000000000000005,339.6194479166667,8.716667083333332,66.563055,101.30083541666666,9.32425125
2023-04-21 18:00:00,2023.0,4.0,21.0,20.5,22.5,8.954805,0.13333333333333333,19.208333333333332,2.411110416666667,80.00194499999999,101.42497250000001,5.686055416666666
2023-04-22 00:00:00,2023.0,4.0,22.0,2.5,22.5,7.75186125,0.27499999999999997,1.0,3.4333333333333336,86.64610875,101.119305,5.672722083333333
2023-04-22 06:00:00,2023.0,4.0,22.0,8.5,22.5,7.12761125,0.775,27.5527775,2.791665416666667,88.33638583333334,100.70536291666667,5.337055833333333
2023-04-22 12:00:00,2023.0,4.0,22.0,14.5,22.5,8.751416666666666,0.11666666666666668,283.79444374999997,5.5027775000000005,80.23222083333333,100.67283958333333,5.496027916666667
2023-04-22 18:00:00,2023.0,4.0,22.0,20.5,22.5,6.691499583333333,0.05833333333333333,17.744444583333333,2.225,81.42360916666667,101.01430416666666,3.6940008333333334
2023-04-23 00:00:00,2023.0,4.0,23.0,2.5,22.5,4.062694166666667,0.0,1.0,1.7249991666666666,84.62833541666667,101.16911708333333,1.7105270833333333
2023-04-23 06:00:00,2023.0,4.0,23.0,8.5,22.5,4.017,0.016666666666666666,212.00833333333333,3.9694445833333334,77.95555416666666,101.37383333333332,0.47024958333333333
2023-04-23 12:00:00,2023.0,4.0,23.0,14.5,22.5,6.28736125,0.0,226.33333374999998,4.6000000000000005,62.02444499999999,101.5813875,-0.45697208333333333
2023-04-23 18:00:00,2023.0,4.0,23.0,20.5,22.5,3.7964450000000003,0.0,13.986111666666666,0.730555,75.54388833333333,101.82866541666665,-0.15138916666666666
2023-04-24 00:00:00,2023.0,4.0,24.0,2.5,22.5,2.589944583333333,0.0,1.0,0.22222166666666668,82.56833208333333,101.834885,-0.07705583333333334
2023-04-24 06:00:00,2023.0,4.0,24.0,8.5,22.5,3.62675,0.0,209.91111,2.7722220833333338,77.365,101.88958708333332,-0.03363875
2023-04-24 12:00:00,2023.0,4.0,24.0,14.5,22.5,5.711305,0.008333333333333333,381.48611125,6.733332916666666,57.221111666666665,101.98438875,-2.0982775
2023-04-24 18:00:00,2023.0,4.0,24.0,20.5,22.5,2.4563341666666667,0.0,46.60277791666667,1.2222220833333333,68.76500041666667,102.12805416666667,-2.7534449999999997
2023-04-25 00:00:00,2023.0,4.0,25.0,2.5,22.5,1.11572125,0.0,1.0,2.0166666666666666,76.96166708333332,102.09685125,-2.4733058333333333
2023-04-25 06:00:00,2023.0,4.0,25.0,8.5,22.5,4.663555833333334,0.0,323.2805579166667,3.8722220833333334,63.60944375,102.06877583333333,-1.8998324999999998
2023-04-25 12:00:00,2023.0,4.0,25.0,14.5,22.5,8.243667499999999,0.0,350.91944291666664,6.977777916666667,47.43472083333333,102.12035875,-2.2772775
2023-04-25 18:00:00,2023.0,4.0,25.0,20.5,22.5,4.90088875,0.0,53.180555416666664,3.3972225000000003,68.89638624999999,102.20539041666666,-0.6150820833333334
2023-04-26 00:00:00,2023.0,4.0,26.0,2.5,22.5,-0.4133054166666666,0.0,1.0,0.06666666666666667,86.005835,102.26986708333334,-2.4742779166666664
2023-04-26 06:00:00,2023.0,4.0,26.0,8.5,22.5,1.4545545833333333,0.0,319.38055625,2.3166658333333334,82.75360875,102.29499291666667,-1.22966625
2023-04-26 12:00:00,2023.0,4.0,26.0,14.5,22.5,7.261443750000001,0.0,366.84166625000006,5.977777083333334,59.239998750000005,102.31413666666667,-0.189805
2023-04-26 18:00:00,2023.0,4.0,26.0,20.5,22.5,3.5960554166666667,0.0,40.84166625,1.0499995833333333,67.38722374999999,102.36105041666667,-2.04138875
2023-04-27 00:00:00,2023.0,4.0,27.0,2.5,22.5,-1.3186104166666668,0.0,1.0,0.022222083333333337,84.966945,102.35929875,-3.5241395833333335
2023-04-27 06:00:00,2023.0,4.0,27.0,8.5,22.5,4.891361666666667,0.0,385.575,1.63611125,69.60861041666666,102.29797541666666,-0.50719375
